zipcode,mediansalary,Pop
3106,53663,"7,285"
3109,67513,"9,484"
3110,117684,"18,257"
3215,49073,256
3216,64522,"1,985"
3217,44153,"1,924"
3218,65727,918
3220,56585,"6,777"
3221,67314,"1,796"
3222,47954,"5,020"
3223,44546,"2,831"
3224,78500,"1,947"
3225,65804,"2,991"
3226,1341,30
3227,51866,963
3229,86083,"5,387"
3230,62943,"1,138"
3231,64522,117
3233,66146,154
3234,71686,"4,026"
3235,49138,"8,470"
3237,64219,"1,878"
3238,44050,61
3240,54297,"1,138"
3241,70144,679
3242,73472,"4,444"
3243,62943,991
3244,57426,"6,950"
3245,44153,"1,937"
3246,45867,"16,437"
3249,60450,"6,763"
3251,49073,"1,269"
3253,58931,"5,890"
3254,74162,"4,478"
3255,67396,"1,738"
3256,585,16
3257,66175,"4,053"
3258,74808,"2,221"
3259,51866,290
3260,67396,628
3261,64816,"3,674"
3262,44050,"1,023"
3263,57987,"3,952"
3264,43783,"6,223"
3266,51840,"2,072"
3268,64522,"1,031"
3269,61702,"2,586"
3273,67396,347
3275,58388,"11,732"
3276,55931,"7,952"
3278,63262,"2,897"
3279,44050,807
3280,52648,895
3281,78480,"7,775"
3282,59259,791
3284,81000,736
3285,49073,"1,823"
3287,62943,"1,076"
3290,98477,"3,590"
3291,98542,51
3293,44050,114
3301,52876,"31,800"
3303,57450,"14,137"
3304,103270,"7,136"
3307,74570,"4,497"
3431,49288,"24,237"
3440,61481,"2,487"
3441,36932,312
3442,67351,"1,409"
3443,79400,695
3444,60369,"1,473"
3445,60369,755
3446,52053,"5,949"
3447,67839,"2,151"
3448,55170,802
3449,64231,"1,738"
3450,60369,"1,065"
3451,44533,"4,118"
3452,56637,"5,477"
3455,55913,"2,036"
3456,55170,749
3457,60369,698
3458,70275,"6,274"
3461,68250,"5,444"
3462,79400,"1,607"
3464,60369,876
3465,55910,"1,969"
3466,79400,"1,259"
3467,79400,"1,722"
3470,43642,"4,840"
3561,44787,"5,864"
3570,39342,"10,270"
3574,58082,"2,201"
3575,60741,59
3576,36884,"3,475"
3579,41891,372
3580,56505,"1,193"
3581,43217,"3,271"
3582,35740,"2,715"
3583,60741,"1,005"
3584,46889,"3,512"
3585,50406,"2,414"
3586,58082,535
3588,52026,"1,640"
3590,35828,"1,236"
3592,38616,"1,146"
3593,60741,338
3595,60741,600
3597,38550,389
3598,48061,"2,966"
3601,58667,398
3602,56041,"2,584"
3603,49290,"5,027"
3604,58112,29
3605,52648,971
3607,58667,316
3608,58112,"2,887"
3609,58112,672
3740,50092,760
3741,60392,"3,590"
3743,42247,"13,840"
3745,77619,"1,468"
3746,77619,194
3748,61496,"4,747"
3750,110729,951
3751,64611,308
3752,52648,746
3753,81000,"2,169"
3754,45794,19
3755,81607,"9,900"
3765,41575,448
3766,59682,"8,867"
3768,70144,"1,679"
3770,77619,347
3771,50406,738
3773,49852,"7,502"
3774,41575,"1,936"
3777,59259,"1,089"
3779,59259,710
3780,41614,449
3781,77619,"1,892"
3782,59775,"2,823"
3784,56652,"3,742"
3785,42817,"2,070"
3801,63815,"21,560"
3809,57560,"2,928"
3810,57569,"1,572"
3811,87514,"6,267"
3812,46357,897
3813,46708,"2,530"
3814,44967,"2,265"
3816,52679,"1,159"
